permutation,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(131)),LogisticRegression,0.9941582494060918,0.9609143307277919,0.9672379619913722,0.9410968178740691,0.9639609296059279,0.93867390812401,0.9985632183908046,0.9944405837387075,0.9975949975949976,0.8898847631241997,0.9352941176470588,250281.14386613102,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(132)),LogisticRegression,0.9954942685313669,0.965693378503251,0.9710671195970482,0.9476861167002012,0.9694733310969472,0.9465631422699247,0.9950704225352113,0.9958649207443143,0.9968734968734969,0.9046094750320103,0.9444444444444444,249257.55711543153,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(133)),LogisticRegression,0.99377673412327,0.9592617135394339,0.9658945407985101,0.941891891891892,0.9589691420820617,0.9359350327092263,0.9971387696709585,0.9964763918252291,0.9978354978354979,0.8924455825864277,0.9241830065359478,249923.5192185511,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(134)),LogisticRegression,0.995022963450416,0.9638610461564683,0.9696332632562485,0.9457364341085271,0.9666778862335914,0.9425522252497729,0.998576512455516,0.9965301873698821,0.9983164983164983,0.8982074263764405,0.938562091503268,251683.41620801,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(135)),LogisticRegression,0.9954901395575954,0.965029968235654,0.9704918032786886,0.9519038076152304,0.9635873229939311,0.9456869009584664,0.9951117318435754,0.995125348189415,0.9966329966329966,0.912291933418694,0.9339869281045752,251230.62750969396,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(136)),LogisticRegression,0.9938028444398161,0.959653934992258,0.9662319515603167,0.9399796541200407,0.9618629767127911,0.936568848758465,0.9992790194664743,0.994417306350314,0.9978354978354979,0.8873239436619719,0.9313725490196079,249900.6912498054,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(137)),LogisticRegression,0.9949196300692796,0.9631872316933644,0.9690312025242491,0.9468728984532616,0.9639609296059279,0.9424869288474653,0.9971671388101983,0.9944405837387075,0.9971139971139971,0.9014084507042254,0.9352941176470588,251558.75967665092,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(138)),LogisticRegression,0.9955443864720902,0.9652968393220781,0.9707397003745318,0.9517749497655728,0.9643097643097643,0.9455084359325125,0.9978932584269663,0.9944444444444445,0.9973544973544973,0.9097311139564661,0.9359477124183007,248651.96616213472,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(139)),LogisticRegression,0.9940500470173251,0.9598528434088373,0.9663130901037418,0.9459187101108498,0.9565217391304347,0.937570685365302,0.995053003533569,0.9957567185289957,0.9968734968734969,0.9014084507042254,0.9202614379084967,252769.7608729088,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(140)),LogisticRegression,0.9946326469831845,0.9619384678242573,0.96803546430238,0.9475806451612903,0.9600271002710028,0.9399637516991391,0.9971711456859972,0.9964838255977496,0.9978354978354979,0.9026888604353394,0.9261437908496732,249196.87441000034,1,8,2,42,0.5,100000
