permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(30000),LogisticRegression,0.9899269859884087,140083.2386223231,1,8,2,24,1.0,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(100000),LogisticRegression,0.990747855728954,234766.05485815008,1,8,2,24,1.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(20000),LogisticRegression,0.8118483618303889,114572.21461310258,1,8,2,24,2.0,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(30000),LogisticRegression,0.8134982628180762,124152.65398435923,1,8,2,24,2.0,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(100000),LogisticRegression,0.8158522121538452,176811.51171419187,1,8,2,24,2.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(20000),LogisticRegression,0.20665400722695448,104794.54652825632,1,8,2,24,3.0,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(30000),LogisticRegression,0.2044974500425467,108793.24920521336,1,8,2,24,3.0,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(100000),LogisticRegression,0.19905055357306378,129417.23851504334,1,8,2,24,3.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(20000),LogisticRegression,0.9370917210851482,131143.58166567681,1,8,2,42,0.1,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(30000),LogisticRegression,0.9377921226147174,144949.7145790983,1,8,2,42,0.1,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(100000),LogisticRegression,0.9363751919564898,265827.6669999404,1,8,2,42,0.1,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.25)-max(20000),LogisticRegression,0.9797417627172273,129378.36941596631,1,8,2,42,0.25,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.25)-max(30000),LogisticRegression,0.9811573616264788,144978.47539215887,1,8,2,42,0.25,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.25)-max(100000),LogisticRegression,0.9765252491855609,267424.3043236931,1,8,2,42,0.25,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.5)-max(20000),LogisticRegression,0.9951551369573097,127427.50891317612,1,8,2,42,0.5,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.5)-max(30000),LogisticRegression,0.994165878060718,141316.81302019476,1,8,2,42,0.5,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000),LogisticRegression,0.995328030107717,251129.2299222226,1,8,2,42,0.5,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.8)-max(20000),LogisticRegression,0.9934713751645656,126420.45891608688,1,8,2,42,0.8,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.8)-max(30000),LogisticRegression,0.994547930373287,140527.91836188285,1,8,2,42,0.8,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(0.8)-max(100000),LogisticRegression,0.993716476302943,238105.07805254328,1,8,2,42,0.8,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(1)-max(20000),LogisticRegression,0.9753810450060262,123804.36314998491,1,8,2,42,1.0,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(1)-max(30000),LogisticRegression,0.9774675017680815,136980.84302182533,1,8,2,42,1.0,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(1)-max(100000),LogisticRegression,0.977731919990271,226449.25536464882,1,8,2,42,1.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(2)-max(20000),LogisticRegression,0.7274974882707543,116989.61014172176,1,8,2,42,2.0,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(2)-max(30000),LogisticRegression,0.7254780100691371,124607.62746741454,1,8,2,42,2.0,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(2)-max(100000),LogisticRegression,0.7251275384149846,174536.5321434614,1,8,2,42,2.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(3)-max(20000),LogisticRegression,0.404183049108477,106803.55562087626,1,8,2,42,3.0,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(3)-max(30000),LogisticRegression,0.38875289355480336,109654.58185043918,1,8,2,42,3.0,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(42)-fa(3)-max(100000),LogisticRegression,0.3882674835611394,128150.84578846866,1,8,2,42,3.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.1)-max(20000),LogisticRegression,0.9380339529636024,129929.66402749669,1,8,2,60,0.1,20000
