Time (UTC),open,high,low,close,volume
2021-12-01 02:00:00+00:00,57049.09,57387.2,56857.72,57305.64,67689347.43
2021-12-01 03:00:00+00:00,57305.64,57432.82,57042.19,57407.34,78448744.15
2021-12-01 04:00:00+00:00,57407.34,57452.69,57033.44,57100.03,64376454.1
2021-12-01 05:00:00+00:00,57100.03,57162.43,56788.27,56823.98,59124578.17
2021-12-01 06:00:00+00:00,56823.98,57130.13,56715.83,56974.25,52688440.08
2021-12-01 07:00:00+00:00,56974.25,57327.91,56863.05,57169.38,70495054.3
2021-12-01 08:00:00+00:00,57169.38,57851.44,56863.93,56935.98,128240428.38
2021-12-01 09:00:00+00:00,56935.98,57197.5,56769.43,57144.92,65981513.98
2021-12-01 10:00:00+00:00,57144.92,57212.91,56897.87,57014.22,50454456.17
2021-12-01 11:00:00+00:00,57014.22,57274.38,56837.03,57193.03,43377564.28
2021-12-01 12:00:00+00:00,57193.03,57425.33,57079.72,57143.0,44128240.73
2021-12-01 13:00:00+00:00,57143.0,57966.45,57115.31,57717.11,72914125.15
2021-12-01 14:00:00+00:00,57717.11,58778.6,57708.2,58607.85,153933788.15
2021-12-01 15:00:00+00:00,58607.85,58879.3,58354.96,58673.98,97314754.1
2021-12-01 16:00:00+00:00,58673.98,59096.53,58461.76,58494.22,105657778.47
2021-12-01 17:00:00+00:00,58494.22,58625.25,58030.48,58049.43,78799736.34
2021-12-01 18:00:00+00:00,58049.43,58133.36,57445.99,57497.98,105958119.05
2021-12-01 19:00:00+00:00,57497.98,57726.34,57032.66,57469.54,150064097.24
2021-12-01 20:00:00+00:00,57469.54,57492.74,56666.38,56795.48,145374726.12
2021-12-01 21:00:00+00:00,56795.48,57054.28,56505.99,57027.72,131413801.19
2021-12-01 22:00:00+00:00,57027.72,57182.3,56674.63,57098.36,108726527.41
2021-12-01 23:00:00+00:00,57098.36,57276.2,57038.65,57227.97,57601497.35
2021-12-02 00:00:00+00:00,57227.97,57230.48,56733.36,57035.26,49135919.97
2021-12-02 01:00:00+00:00,57035.26,57409.48,56838.71,57264.36,52502057.31
2021-12-02 02:00:00+00:00,57264.36,57273.84,56898.04,57000.46,69361153.14
2021-12-02 03:00:00+00:00,57000.46,57000.61,55850.4,56357.27,183349466.22
2021-12-02 04:00:00+00:00,56357.27,56722.66,56280.97,56554.84,93108042.75
2021-12-02 05:00:00+00:00,56554.84,57007.3,56530.91,56958.81,107543844.43
2021-12-02 06:00:00+00:00,56958.81,56958.81,56436.5,56702.58,49930457.37
2021-12-02 07:00:00+00:00,56702.58,56995.87,56639.01,56857.74,87834391.85
2021-12-02 08:00:00+00:00,56857.74,57226.19,56801.62,57008.18,79772428.29
2021-12-02 09:00:00+00:00,57008.18,57136.35,56637.13,56743.72,32150866.36
2021-12-02 10:00:00+00:00,56743.72,56839.97,56481.7,56578.57,62449793.8
2021-12-02 11:00:00+00:00,56578.57,56636.75,56141.42,56366.26,86698147.24
2021-12-02 12:00:00+00:00,56366.26,56625.88,56100.99,56569.06,51669843.78
2021-12-02 13:00:00+00:00,56569.06,56653.44,56141.11,56508.67,48328348.98
2021-12-02 14:00:00+00:00,56508.67,57215.95,56382.03,57103.81,69046112.74
2021-12-02 15:00:00+00:00,57103.81,57381.78,56178.3,56536.66,105199041.36
2021-12-02 16:00:00+00:00,56536.66,56749.52,56079.93,56377.1,81126559.06
2021-12-02 17:00:00+00:00,56377.1,56695.0,56322.68,56615.02,70759075.44
2021-12-02 18:00:00+00:00,56615.02,56766.88,56172.93,56745.86,62017085.09
2021-12-02 19:00:00+00:00,56745.86,56966.8,56550.02,56651.1,68750463.58
2021-12-02 20:00:00+00:00,56651.1,57266.45,56593.36,57056.06,85824271.24
2021-12-02 21:00:00+00:00,57056.06,57074.57,56830.36,56900.82,35347799.92
2021-12-02 22:00:00+00:00,56900.82,56942.53,56655.68,56887.8,39644419.13
2021-12-02 23:00:00+00:00,56887.8,56939.96,56411.36,56522.76,40621386.32
2021-12-03 00:00:00+00:00,56522.76,56797.73,56474.65,56585.93,32394877.16
2021-12-03 01:00:00+00:00,56585.93,56750.73,56438.86,56554.49,26580687.17
2021-12-03 02:00:00+00:00,56554.49,56614.57,56124.03,56286.44,55331968.76
2021-12-03 03:00:00+00:00,56286.44,56576.07,56145.85,56370.77,45875989.89
2021-12-03 04:00:00+00:00,56370.77,56725.7,56310.96,56626.06,45352764.49
2021-12-03 05:00:00+00:00,56626.06,57059.31,56465.13,56771.35,52030737.93
2021-12-03 06:00:00+00:00,56771.35,57006.07,56738.71,56897.1,29617223.59
2021-12-03 07:00:00+00:00,56897.1,56990.52,56699.63,56786.69,26502469.47
