Time (UTC),open,high,low,close,volume_from,volume_to
2021-08-29 01:00:00+00:00,3283.01,3287.2,3263.66,3271.6,9522.17,31197017.22
2021-08-29 02:00:00+00:00,3271.6,3276.71,3224.15,3230.28,9372.97,30504836.99
2021-08-29 03:00:00+00:00,3230.28,3234.44,3161.5,3182.25,32959.31,105251678.7
2021-08-29 04:00:00+00:00,3182.25,3189.67,3154.86,3181.57,14994.28,47565386.31
2021-08-29 05:00:00+00:00,3181.57,3198.95,3174.13,3193.15,7227.38,23037012.56
2021-08-29 06:00:00+00:00,3193.15,3201.45,3188.48,3194.45,4846.76,15487134.65
2021-08-29 07:00:00+00:00,3195.27,3210.87,3199.22,3208.93,8713.61,27961375.09
2021-08-29 08:00:00+00:00,3209.06,3220.43,3195.73,3209.37,4440.25,14270530.87
2021-08-29 09:00:00+00:00,3209.37,3211.51,3194.0,3204.7,5672.14,18150383.99
2021-08-29 10:00:00+00:00,3204.7,3211.25,3194.44,3205.11,2771.14,8870835.24
2021-08-29 11:00:00+00:00,3205.11,3209.68,3183.87,3183.95,4388.42,14020943.6
2021-08-29 12:00:00+00:00,3183.95,3208.37,3180.43,3197.26,6104.91,19519534.85
2021-08-29 13:00:00+00:00,3197.57,3195.08,3187.35,3189.28,8367.32,26685738.29
2021-08-29 14:00:00+00:00,3189.03,3200.55,3174.57,3175.13,5502.95,17539845.08
2021-08-29 15:00:00+00:00,3175.13,3191.07,3169.25,3188.92,4559.94,14512433.79
2021-08-29 16:00:00+00:00,3188.92,3216.36,3184.51,3206.97,7927.54,25359805.09
2021-08-29 17:00:00+00:00,3206.97,3210.1,3195.34,3205.84,3711.32,11887798.17
2021-08-29 18:00:00+00:00,3205.84,3210.85,3198.81,3208.01,3705.42,11877338.11
2021-08-29 19:00:00+00:00,3208.01,3226.19,3207.99,3222.32,5282.31,16999714.33
2021-08-29 20:00:00+00:00,3222.32,3245.26,3221.38,3238.14,7396.95,23932041.45
2021-08-29 21:00:00+00:00,3238.14,3249.37,3218.99,3243.74,6309.66,20428904.73
2021-08-29 22:00:00+00:00,3243.74,3259.03,3235.87,3238.14,11220.56,36463941.93
2021-08-29 23:00:00+00:00,3238.14,3248.1,3224.48,3225.3,5738.19,18553152.74
2021-08-30 00:00:00+00:00,3225.3,3230.39,3185.06,3192.77,12127.44,38916962.22
2021-08-30 01:00:00+00:00,3192.77,3225.01,3189.89,3208.29,6630.24,21246406.48
2021-08-30 02:00:00+00:00,3208.29,3218.6,3196.27,3198.27,6509.5,20893311.24
2021-08-30 03:00:00+00:00,3198.27,3200.01,3146.73,3163.89,17542.2,55608200.54
2021-08-30 04:00:00+00:00,3163.89,3173.42,3148.06,3166.19,10508.13,33219352.56
2021-08-30 05:00:00+00:00,3166.19,3176.93,3158.62,3172.02,6003.48,19032004.85
2021-08-30 06:00:00+00:00,3172.02,3177.64,3153.33,3171.47,7590.65,24019925.4
2021-08-30 07:00:00+00:00,3171.47,3187.74,3162.98,3182.03,7824.34,24865481.25
2021-08-30 08:00:00+00:00,3182.03,3205.6,3177.12,3195.83,7088.8,22631314.56
2021-08-30 09:00:00+00:00,3195.83,3199.3,3181.33,3183.47,6437.01,20521396.01
2021-08-30 10:00:00+00:00,3183.47,3198.03,3179.84,3194.56,5747.04,18321914.81
2021-08-30 11:00:00+00:00,3194.56,3195.58,3168.11,3189.11,9169.44,29173993.12
2021-08-30 12:00:00+00:00,3189.11,3190.78,3155.57,3160.15,10401.84,32931587.17
2021-08-30 13:00:00+00:00,3160.15,3179.15,3152.14,3178.05,10685.31,33842095.32
2021-08-30 14:00:00+00:00,3178.05,3185.0,3166.26,3171.61,11700.92,37174720.21
2021-08-30 15:00:00+00:00,3171.61,3225.86,3169.32,3220.02,19975.55,63916329.32
2021-08-30 16:00:00+00:00,3220.02,3271.06,3216.22,3271.05,26750.02,86893914.89
2021-08-30 17:00:00+00:00,3271.05,3296.5,3259.76,3294.5,33645.7,110209916.25
2021-08-30 18:00:00+00:00,3294.5,3326.66,3278.46,3326.13,41238.44,136153779.75
2021-08-30 19:00:00+00:00,3326.13,3342.95,3303.11,3342.83,51150.4,170091378.85
2021-08-30 20:00:00+00:00,3342.83,3348.62,3326.43,3341.79,23582.59,78751955.5
2021-08-30 21:00:00+00:00,3341.79,3342.68,3309.68,3333.04,19910.6,66181747.91
2021-08-30 22:00:00+00:00,3333.04,3339.88,3276.62,3284.57,25062.3,82775691.62
2021-08-30 23:00:00+00:00,3284.57,3284.76,3212.6,3228.46,35177.0,114218550.31
2021-08-31 00:00:00+00:00,3228.46,3248.94,3190.71,3213.99,31167.34,100289336.07
2021-08-31 01:00:00+00:00,3213.99,3224.91,3204.65,3215.85,14001.59,45019236.9
2021-08-31 02:00:00+00:00,3215.85,3228.71,3202.8,3219.94,11141.72,35839803.88
2021-08-31 03:00:00+00:00,3219.94,3245.6,3216.47,3238.78,9041.56,29174381.31
2021-08-31 04:00:00+00:00,3238.78,3256.32,3223.21,3230.34,19508.13,63224946.88
2021-08-31 05:00:00+00:00,3230.34,3243.08,3225.62,3238.49,10880.49,35216496.17
2021-08-31 06:00:00+00:00,3238.49,3251.55,3226.69,3233.26,12063.78,39047406.29
2021-08-31 07:00:00+00:00,3233.26,3369.36,3217.62,3359.47,56787.7,188345325.54
2021-08-31 08:00:00+00:00,3359.47,3372.72,3338.36,3347.95,30752.29,103212730.61
2021-08-31 09:00:00+00:00,3347.95,3354.13,3320.81,3335.55,19273.58,64309664.79
2021-08-31 10:00:00+00:00,3335.55,3356.83,3312.46,3333.83,21157.56,70488030.78
2021-08-31 11:00:00+00:00,3333.83,3441.49,3324.33,3431.52,59237.95,201567371.49
2021-08-31 12:00:00+00:00,3431.52,3438.94,3401.47,3417.57,26799.04,91651155.6
2021-08-31 13:00:00+00:00,3417.57,3446.02,3410.38,3433.83,28295.72,96927606.05
2021-08-31 14:00:00+00:00,3433.83,3480.11,3373.68,3379.21,47209.48,161640867.63
2021-08-31 15:00:00+00:00,3379.21,3402.09,3367.65,3389.36,24191.21,81836429.72
2021-08-31 16:00:00+00:00,3389.36,3414.01,3377.58,3388.68,25962.45,88254655.4
2021-08-31 17:00:00+00:00,3388.68,3395.41,3344.99,3367.04,21464.1,72365066.21
2021-08-31 18:00:00+00:00,3367.04,3418.43,3359.52,3416.06,22850.02,77483480.88
2021-08-31 19:00:00+00:00,3416.06,3424.32,3397.07,3417.13,16931.07,57782762.78
2021-08-31 20:00:00+00:00,3417.13,3427.82,3384.82,3392.46,17115.53,58311095.68
2021-08-31 21:00:00+00:00,3392.46,3436.05,3381.86,3403.02,15809.3,53904426.15
2021-08-31 22:00:00+00:00,3403.02,3415.0,3372.64,3413.96,15895.45,53967907.64
2021-08-31 23:00:00+00:00,3413.96,3445.97,3402.58,3435.17,15436.2,52928004.28
2021-09-01 00:00:00+00:00,3435.17,3443.47,3394.7,3400.36,28432.75,97288807.94
2021-09-01 01:00:00+00:00,3400.36,3437.51,3385.05,3426.76,20884.7,71089796.06
2021-09-01 02:00:00+00:00,3426.76,3447.05,3416.83,3422.93,19195.14,65891105.46
2021-09-01 03:00:00+00:00,3422.93,3445.53,3410.87,3444.91,13287.66,45502520.24
2021-09-01 04:00:00+00:00,3444.91,3460.88,3430.05,3460.66,20171.1,69602021.29
2021-09-01 05:00:00+00:00,3460.66,3533.02,3456.41,3526.8,38079.07,133278921.49
2021-09-01 06:00:00+00:00,3526.8,3533.86,3508.44,3526.79,17755.31,62523792.9
2021-09-01 07:00:00+00:00,3526.79,3545.0,3501.58,3519.3,15457.97,54447591.19
2021-09-01 08:00:00+00:00,3519.3,3539.0,3515.07,3534.23,13874.05,48932909.24
2021-09-01 09:00:00+00:00,3534.23,3559.75,3528.68,3540.92,16749.41,59368304.7
